Actor,Movie_Count,Avg_IMDb_Rating
Aamir Bashir,1,8.1
Aamir Khan,8,8.2375
Aaron Eckhart,1,9.0
Aaron Taylor-Johnson,1,7.6
Abdel Ahmed Ghili,1,8.1
Abhay Deol,2,8.05
Abigail Breslin,1,7.6
Abraham Attah,1,7.7
Adam Baldwin,1,8.3
Adam Driver,1,7.9
Adel Bencherif,1,7.9
Adesh Prasad,1,8.3
Adil Hussain,2,7.85
Adolphe Menjou,1,8.4
Adrian Molina,1,8.4
Adrien Brody,3,8.1
Adèle Exarchopoulos,1,7.7
Adèle Haenel,1,8.1
Agnes Moorehead,1,8.3
Ahmet Mümtaz Taylan,1,7.9
Ahna Capri,1,7.7
Ahney Her,1,8.1
Aidan Gillen,1,7.9
Aitana Sánchez-Gijón,1,7.7
Ajay Devgn,1,8.2
Ajay Naidu,1,7.7
Akemi Yamaguchi,1,8.5
Aki Maeda,1,7.6
Akihiro Miwa,1,8.2
Akio Ôtsuka,1,8.0
Akira Ishihama,1,8.6
Akira Terao,1,8.2
Akshay Kumar,5,8.059999999999999
Akshaye Khanna,1,8.1
Al Ernest Garcia,1,8.1
Al Pacino,13,8.076923076923077
Alain Delon,1,8.1
Alakina Mann,1,7.6
Alan Alda,1,7.6
Alan Arkin,3,7.733333333333333
Alan Badel,1,7.8
Alan Mak,1,8.0
Alan Randolph Scott,1,7.8
Alan Rickman,1,8.2
Alan Ruck,1,7.8
Alan Tudyk,2,7.8
Albert Brooks,3,8.066666666666666
Albert Finney,2,7.85
Albert Rémy,1,8.1
Alberto Ammann,1,7.6
Aldo Giuffrè,1,8.8
Aldo Silvani,1,8.0
Alec Baldwin,1,7.7
Alec Cawthorne,1,8.0
Alec Guinness,5,8.14
Alec Secareanu,1,7.7
Alejandro Jodorowsky,1,7.9
Aleksandr Antonov,1,8.0
Aleksandr Kaydanovskiy,1,8.2
Aleksey Kravchenko,1,8.3
Aleksey Rozin,1,7.6
Aleksey Serebryakov,1,7.6
Alex Palmer,1,7.6
Alex Sharp,1,7.8
Alexander Gould,1,8.1
Alexander Granach,1,7.9
Alexandra Maria Lara,3,8.0
Alexandre Rignault,1,7.7
Alexandre Rodrigues,1,8.6
Alexandre Tharaud,1,7.9
Alexandru Potocean,1,7.9
Alfred Abel,1,8.3
Ali Mosaffa,1,7.8
Alia Bhatt,2,7.8
Alicia Vikander,1,7.7
Alida Valli,2,7.9
Alisa Freyndlikh,1,8.2
Alison Crosbie,1,8.1
Alison Doody,1,8.2
Alison Whelan,1,7.9
Allen Garfield,1,7.8
Allen Leech,1,8.0
Allison Williams,1,7.7
Ally Sheedy,1,7.8
Altan Erkekli,1,8.0
America Ferrera,1,7.6
Amir Farrokh Hashemian,1,8.3
Amira Casar,1,7.9
Amit Sadh,1,7.7
Amitabh Bachchan,4,8.225
Amjad Khan,1,8.2
Amole Gupte,1,8.4
Amrish Puri,1,8.1
Amrita Puri,1,7.7
Amy Adams,3,7.8999999999999995
Amy Poehler,2,7.85
Amy Ryan,2,7.65
Amy Smart,1,7.6
Ana López Mercado,1,7.6
Ana Wagener,1,8.1
Ana de Armas,2,7.95
Anamaria Marinca,1,7.9
Anand Gandhi,1,8.3
Ananda George,1,7.6
Anatoliy Solonitsyn,2,8.149999999999999
Andie MacDowell,2,7.85
Andrea Eckert,1,8.1
Andrea Riseborough,1,7.7
Andrea Tariang,1,8.1
Andreas Wilson,1,7.8
Andrew Adote,1,7.7
Andrew Garfield,2,7.9
Andrew Kevin Walker,1,8.6
Andrew Marton,1,7.8
Andrew Philpot,1,7.7
Andrew Robinson,1,7.7
Andrew Shim,1,7.7
André Berley,1,8.1
André Ramiro,2,8.0
André S. Labarthe,1,8.0
Andy Devine,1,7.8
Andy Garcia,1,7.6
Andy Lau,1,8.0
Andy Serkis,2,7.699999999999999
Angela Bassett,1,7.7
Angela Lansbury,1,7.9
Angelina Jolie,1,7.7
Angie Dickinson,1,8.0
Angus Macfadyen,1,8.3
Anil Dhawan,1,8.3
Anita Ekberg,1,8.0
Anjelica Huston,1,7.6
Ann Dvorak,1,7.8
Ann Owens,1,7.6
Ann Reinking,1,7.9
Anna Faris,1,7.7
Anna Foglietta,1,7.8
Anna Karina,1,8.0
Anna Kendrick,2,7.6
Anna Massey,1,7.7
Annalise Basso,1,7.9
Anne Bancroft,2,8.05
Anne Baxter,2,8.05
Anne Dorval,1,8.1
Anne Hathaway,3,8.200000000000001
Anne Le Ny,1,8.5
Anne-Marie Duff,1,7.7
Annette Bening,1,8.3
Annie Corley,1,7.6
Annie Potts,1,7.8
Annika Wedderkopp,1,8.3
Annu Kapoor,1,7.8
Anouk Aimée,2,8.0
Ansel Elgort,2,7.65
Ansiba,1,8.3
Anthony Chau-Sang Wong,1,8.0
Anthony Edwards,2,7.7
Anthony Gonzalez,1,8.4
Anthony Hopkins,5,8.040000000000001
Anthony Michael Hall,1,7.9
Anthony Perkins,1,8.5
Anthony Quinn,3,8.166666666666666
Antoine Olivier Pilon,1,8.1
Anton Walbrook,1,8.1
Antonella Attili,1,8.5
Antonia San Juan,1,7.8
Antonio Banderas,1,7.6
Antonio Resines,1,7.6
Anupam Kher,3,7.966666666666666
Anushka Sharma,1,8.1
Anushka Shetty,1,8.2
Aoi Miyazaki,1,8.1
Aoi Yûki,2,8.25
Aparna Balamurali,1,8.6
Aras Bulut Iynemli,1,8.3
Archana Jois,1,8.2
Ariadna Gil,1,8.2
Ariane Labed,1,7.9
Arifin Putra,1,8.0
Armando Brancia,1,7.9
Armie Hammer,1,7.9
Armin Mueller-Stahl,2,7.65
Arno Frisch,1,7.6
Arnold Lucy,1,8.0
Arnold Schwarzenegger,3,8.1
Arshad Warsi,2,8.1
Art LaFleur,1,7.8
Art Malik,1,8.2
Art Parkinson,1,7.8
Arthur O'Connell,1,8.0
Arthur Rosson,1,7.8
Artyom Bogucharskiy,1,7.8
Asa Butterfield,1,7.8
Asaka Seto,1,7.7
Ash Brannon,1,7.9
Asha Sharath,1,8.3
Ashton Kutcher,1,7.6
Atsuko Tanaka,1,8.0
Audrey Hepburn,6,7.8
Audrey Tautou,2,7.95
Auli'i Cravalho,1,7.6
Aura Garrido,1,7.6
Aurore Clément,1,8.1
Aurélien Recoing,1,7.7
Aya Okamoto,1,7.8
Ayami Kakiuchi,1,7.7
Ayano Shiraishi,1,8.5
Ayberk Pekcan,1,8.1
Ayesha Kapoor,1,8.2
Ayushmann Khurrana,3,8.033333333333333
Azhy Robertson,1,7.9
BD Wong,1,7.6
Babak Karimi,1,7.8
Bae Doona,1,7.6
Bahar Pars,1,7.7
Bahare Seddiqi,1,8.3
Bajram Severdzan,1,8.1
Baki Davrak,1,7.8
Barbara Bel Geddes,1,8.3
Barbara Hershey,2,7.75
Barbara Stanwyck,1,8.3
Baris Bagci,1,8.0
Barkhad Abdi,1,7.8
Barkhad Abdirahman,1,7.8
Barry Bostwick,1,7.8
Barry Cook,1,7.6
Barry Fitzgerald,1,7.7
Barry Humphries,1,8.1
Barry Keoghan,1,7.8
Barry Pepper,1,7.6
Basil Rathbone,1,7.9
Beau Billingslea,1,7.9
Bee Vang,1,8.1
Belén Rueda,2,7.8
Ben Affleck,3,8.033333333333333
Ben Burtt,1,8.4
Ben Foster,2,7.65
Ben Gazzara,1,8.0
Ben Hardy,1,8.0
Ben Johnson,1,8.0
Ben Kingsley,4,8.2
Ben Stiller,1,7.6
Ben Whishaw,1,7.8
Benedict Cumberbatch,2,7.85
Bengt Ekerot,1,8.2
Benicio Del Toro,4,7.775
Benjamin Bratt,2,8.2
Benno Fürmann,1,7.7
Benoît Régent,1,7.9
Bernard-Pierre Donnadieu,1,7.7
Bernhard Wicki,1,7.8
Bertil Guve,1,8.1
Bette Davis,2,8.149999999999999
Beverly D'Angelo,1,8.5
Bibi Andersson,2,8.149999999999999
Biff McGuire,1,7.7
Bill Bernstein,1,7.9
Bill Hader,1,8.1
Bill McKinney,2,7.75
Bill Murray,6,7.816666666666666
Bill Nighy,4,7.775
Bill Nunn,1,8.1
Bill Paxton,3,7.8
Bill Pullman,2,7.6
Bill Sage,1,7.6
Billy Bob Thornton,1,8.0
Billy Connolly,1,7.7
Billy Crudup,3,8.1
Billy Crystal,2,7.85
Billy Dee Williams,2,8.5
Billy Zane,1,7.8
Birgitta Pettersson,1,8.1
Birgitta Valberg,1,8.1
Birol Ünel,1,7.9
Björk,1,8.0
Bo Hopkins,1,7.6
Bob Balaban,1,7.9
Bob Geldof,1,8.1
Bob Gunton,1,9.3
Bob Hoskins,1,7.7
Bob Odenkirk,1,7.7
Bob Peterson,1,8.2
Bobby Cannavale,1,7.6
Bodil Rosing,1,8.1
Boluwatife Treasure Bankole,1,8.4
Boman Irani,2,8.1
Bonnie Bedelia,1,8.2
Bonnie Hunt,1,8.6
Bora Todorovic,1,8.2
Boris Karloff,2,7.8
Boyd Holbrook,1,8.1
Boyd Kirkland,1,7.8
Brad Davis,1,7.6
Brad Dourif,1,7.8
Brad Garrett,1,8.0
Brad Pitt,12,8.016666666666667
Bradley Cooper,4,7.75
Bradley Whitford,1,7.7
Brady Corbet,1,7.6
Brahim Hadjadj,1,8.1
Branka Katic,1,8.1
Branko Djuric,1,7.9
Brenda Blethyn,3,7.866666666666667
Brenda Fricker,1,7.9
Brendan Gleeson,4,7.875
Bria Vinaite,1,7.6
Brian Cox,1,7.7
Brian Dennehy,1,7.7
Brian Howe,1,8.0
Brian O'Halloran,1,7.7
Brian Tyler,1,7.6
Bridget Moynahan,1,7.6
Brie Larson,3,7.8999999999999995
Brigitte Helm,1,8.3
Brigitte Lin,1,8.1
Brooke Adams,1,7.8
Brooklynn Prince,1,7.6
Bruce Bennett,1,8.2
Bruce Cabot,1,7.9
Bruce Campbell,1,7.8
Bruce Davison,1,7.7
Bruce Dern,1,7.7
Bruce Lee,1,7.7
Bruce Reitherman,1,7.6
Bruce Spence,1,7.6
Bruce Willis,7,8.042857142857143
Bruno Ganz,2,8.1
Bruno Kirby,2,7.65
Bruno Zanin,1,7.9
Bryan Cranston,3,7.8
Bryce Dallas Howard,2,7.8
Bud Cort,1,7.9
Buddy Ebsen,1,7.6
Bulle Ogier,1,7.9
Bunshi Katsura Vi,1,7.7
Burak Yigit,1,7.6
Burl Ives,2,7.95
Burt Lancaster,3,7.933333333333333
Burt Reynolds,2,7.800000000000001
Burt Young,1,8.1
Buster Keaton,3,8.133333333333333
Buzz Kilman,1,7.7
Byron Barr,1,8.3
Byron Howard,1,7.7
Bárbara Lennie,1,8.1
Bérénice Bejo,2,7.85
Börje Ahlstedt,1,8.1
Cab Calloway,1,7.9
Caio Junqueira,1,8.0
Caitriona Balfe,1,8.1
Caleb Landry Jones,1,8.2
Callan McAuliffe,1,7.7
Cameron Diaz,2,7.75
Candela Peña,1,7.8
Carey Mulligan,1,7.8
Carice van Houten,1,7.7
Carl Benton Reid,1,8.0
Carl Miller,1,8.3
Carl Möhner,1,8.2
Carl Weathers,2,7.949999999999999
Carla Gugino,1,7.6
Carla Quevedo,1,8.2
Carlo Buccirosso,1,7.8
Carlo Verdone,1,7.8
Carlos Martínez López,1,8.2
Carlos Peralta,1,7.7
Carol Kane,1,8.0
Carole Lombard,1,8.2
Caroline Goodall,1,8.9
Carrie Fisher,4,8.3
Carrie Henn,1,8.3
Carrie-Anne Moss,2,8.55
Carroll Baker,1,7.6
Carroll O'Connor,1,7.6
Cary Elwes,3,7.8
Cary Grant,7,7.957142857142857
Cary-Hiroyuki Tagawa,1,8.1
Casey Affleck,2,7.699999999999999
Cate Blanchett,4,7.8
Catherine Deneuve,4,7.85
Catherine Keener,5,7.779999999999999
Catherine O'Hara,1,8.0
Cathy Moriarty,1,8.2
Cathy Rosier,1,8.1
Catinca Untaru,1,7.9
Cecil Parker,1,7.7
Cecilia Roth,1,7.8
Celeste Holm,1,8.2
Celia Johnson,1,8.0
Celile Toyon Uysal,1,8.3
Cem Yilmaz,1,8.0
Charles Bronson,4,8.025
Charles Chaplin,6,8.333333333333334
Charles Durning,1,8.3
Charles Fleischer,1,7.7
Charles Laughton,2,8.15
Charles Martin Smith,1,7.9
Charles Ruggles,1,7.8
Charles Vanel,2,8.05
Charley Grapewin,1,8.0
Charlie Cox,1,7.6
Charlie Hunnam,1,7.8
Charlie Pye Jr.,1,7.6
Charlie Sheen,1,8.1
Charlie Yeung,1,7.7
Charlize Theron,2,7.949999999999999
Charlotte Rampling,1,7.7
Charlton Heston,4,8.0
Chase Ellison,1,7.6
Chazz Palminteri,2,8.15
Chen Chang,1,7.8
Chete Lera,1,7.7
Chiara Mastroianni,1,8.0
Chico Marx,2,7.85
Chief Dan George,1,7.8
Chieko Baishô,1,8.2
Chieko Higashiyama,1,8.2
Chika Sakamoto,1,8.2
Chishû Ryû,1,8.2
Chiwetel Ejiofor,4,7.9
Chloë Grace Moretz,3,7.766666666666667
Cho Jin-woong,1,8.1
Cho Yeo-jeong,1,8.6
Choi Min-sik,2,8.1
Choi Woo-sik,1,8.6
Chris Cooper,3,7.8
Chris Elliott,1,8.0
Chris Evans,6,7.8999999999999995
Chris Hemsworth,3,8.133333333333333
Chris O'Donnell,1,8.0
Chris Owen,1,7.8
Chris Penn,1,8.3
Chris Pine,3,7.733333333333333
Chris Pratt,3,7.766666666666667
Chris Renaud,1,7.6
Chris Sanders,1,8.1
Chris Sarandon,2,8.0
Chris Williams,2,7.699999999999999
Christian Bale,11,8.045454545454545
Christian Berkel,1,7.7
Christian Friedel,1,7.8
Christian Slater,2,7.800000000000001
Christina Hendricks,1,7.7
Christine Hargreaves,1,8.1
Christoph Waltz,1,8.4
Christopher Adamson,1,7.8
Christopher Carley,1,8.1
Christopher Eccleston,2,7.6
Christopher Guest,1,7.9
Christopher Heyerdahl,1,8.0
Christopher Lloyd,3,8.0
Christopher Mintz-Plasse,1,8.1
Christopher Plummer,6,7.866666666666666
Christopher Reeve,1,7.8
Christopher Rivera,1,7.6
Christopher Walken,3,7.966666666666666
Chulpan Khamatova,1,7.7
Ciarán Hinds,2,8.05
Cillian Murphy,1,7.6
Claire Bloom,1,7.9
Claire Danes,1,7.6
Claire Maurier,1,8.1
Claire Rushbrook,1,8.0
Claire Trevor,1,7.8
Clark Gable,2,8.1
Claude Rains,4,8.05
Claudette Colbert,1,8.1
Claudia Cardinale,3,8.200000000000001
Cleavon Little,1,7.7
Clifton Powell,1,7.7
Clifton Webb,1,8.0
Clint Eastwood,12,7.958333333333333
Clive Owen,4,7.85
Coleen Gray,1,8.0
Colin Clive,2,7.8
Colin Farrell,2,7.75
Colin Firth,3,8.0
Colm Feore,1,7.7
Connie Nielsen,1,8.5
Conrad Veidt,1,8.1
Corey Feldman,2,7.949999999999999
Corey Hawkins,1,7.8
Cori Gonzalez-Macuer,1,7.7
Craig Bierko,1,8.0
Craig Ferguson,1,7.8
Craig Parkinson,1,7.7
Craig T. Nelson,2,7.8
Crispin Glover,2,8.05
Cuba Gooding Jr.,2,7.75
Cuifen Cao,1,8.1
Curt Bois,1,8.0
Cybill Shepherd,2,8.15
Cyril Cusack,1,7.9
Dafne Keen,1,8.1
Daisuke Ryû,1,8.2
Daisy Ridley,1,7.9
Dakota Fanning,3,7.7
Dakota Johnson,1,7.6
Dalia Hernández,1,7.8
Damian Chapa,1,8.0
Dan Aykroyd,2,7.85
Dan Hedaya,1,7.6
Dan Hicks,1,7.8
Dan Riba,1,7.8
Dana Andrews,2,8.0
Dana Wynter,1,7.7
Danai Gurira,1,7.6
Daniel Boulanger,1,7.8
Daniel Brühl,2,7.9
Daniel Craig,4,7.85
Daniel Day-Lewis,4,7.975
Daniel Giménez Cacho,1,7.6
Daniel Kaluuya,1,7.7
Daniel Mays,1,8.3
Daniel Prévost,1,7.7
Daniel Radcliffe,6,7.766666666666667
Daniel Richter,1,8.3
Daniel Stern,1,7.6
Danielle Proulx,1,7.9
Danny Aiello,3,8.066666666666666
Danny Denzongpa,1,8.0
Danny Elfman,1,8.0
Danny Glover,3,7.666666666666667
Danny Huston,1,7.6
Danny Lee,1,7.8
Danny Lloyd,1,8.4
Dara Singh,1,7.9
Darren McGavin,1,7.9
Darryl F. Zanuck,1,7.8
Darsheel Safary,1,8.4
Daryl Hannah,2,8.05
Darío Grandinetti,2,8.0
Dave Bautista,2,7.8
Dave Goelz,1,7.7
Dave Johns,1,7.9
Daveigh Chase,1,8.6
David Carradine,2,8.05
David Della Rocco,1,7.8
David Emge,1,7.9
David Hand,1,7.7
David Hemmings,1,7.6
David Herman,1,7.7
David James,1,7.9
David Lee Smith,1,7.9
David Morse,2,8.3
David Rawle,1,8.1
David Silverman,1,8.1
David Thewlis,2,7.8
David Tomlinson,1,7.8
David Wenham,1,7.6
David Zucker,1,7.7
Davor Dujmovic,1,8.2
DeForest Kelley,1,7.7
Dean Martin,1,8.0
Dean Stockwell,1,8.1
Dean-Charles Chapman,1,8.3
Debbie Reynolds,1,8.3
Deborah Kara Unger,2,7.699999999999999
Deborah Kerr,2,7.699999999999999
Debra Messing,1,7.6
Dee Wallace,1,7.8
Del Negro,1,7.9
Delphine Seyrig,1,7.9
Delroy Lindo,1,7.7
Demet Akbag,2,8.05
Demi Moore,1,7.7
Denholm Elliott,1,8.2
Deniz Baysal,1,8.3
Dennis Farina,1,8.3
Dennis Hopper,2,7.800000000000001
