Released_Year,Genre,Count
1920,Fantasy,1
1920,Horror,1
1920,Mystery,1
1921,Comedy,1
1921,Drama,1
1921,Family,1
1922,Fantasy,1
1922,Horror,1
1924,Action,1
1924,Comedy,1
1924,Romance,1
1925,Adventure,1
1925,Comedy,1
1925,Drama,2
1925,History,1
1925,Thriller,1
1926,Action,1
1926,Adventure,1
1926,Comedy,1
1927,Drama,2
1927,Romance,1
1927,Sci-Fi,1
1928,Biography,1
1928,Comedy,1
1928,Drama,1
1928,History,1
1928,Romance,1
1930,Drama,1
1930,War,1
1931,Comedy,1
1931,Crime,1
1931,Drama,2
1931,Horror,1
1931,Mystery,1
1931,Romance,1
1931,Sci-Fi,1
1931,Thriller,1
1932,Action,1
1932,Crime,1
1932,Drama,2
1932,Horror,1
1933,Adventure,1
1933,Comedy,1
1933,Horror,2
1933,Musical,1
1933,Sci-Fi,2
1933,War,1
1934,Comedy,2
1934,Crime,1
1934,Mystery,1
1934,Romance,1
1935,Comedy,1
1935,Crime,1
1935,Drama,1
1935,Horror,1
1935,Music,1
1935,Musical,1
1935,Mystery,1
1935,Sci-Fi,1
1935,Thriller,1
1936,Comedy,1
1936,Drama,1
1936,Family,1
1937,Drama,1
1937,War,1
1938,Action,1
1938,Adventure,1
1938,Comedy,1
1938,Family,1
1938,Mystery,1
1938,Romance,2
1938,Thriller,1
1939,Adventure,2
1939,Comedy,2
1939,Drama,4
1939,Family,1
1939,Fantasy,1
1939,History,1
1939,Romance,1
1939,Western,1
1940,Animation,1
1940,Comedy,4
1940,Drama,5
1940,Family,1
1940,Fantasy,1
1940,History,1
1940,Mystery,1
1940,Romance,4
1940,War,1
1941,Drama,1
1941,Film-Noir,1
1941,Mystery,2
1942,Comedy,2
1942,Crime,1
1942,Drama,1
1942,Romance,1
1942,Thriller,1
1942,War,2
1943,Film-Noir,1
1943,Thriller,1
1944,Adventure,1
1944,Comedy,1
1944,Crime,1
1944,Drama,3
1944,Film-Noir,3
1944,Mystery,1
1944,War,1
1945,Drama,2
1945,Film-Noir,1
1945,Romance,1
1946,Crime,1
1946,Drama,4
1946,Family,1
1946,Fantasy,1
1946,Film-Noir,3
1946,Mystery,1
1946,Romance,3
1946,War,1
1947,Comedy,1
1947,Crime,1
1947,Drama,2
1947,Family,1
1947,Film-Noir,1
1948,Action,2
1948,Adventure,2
1948,Crime,2
1948,Drama,6
1948,Music,1
1948,Mystery,1
1948,Romance,1
1948,Western,1
1949,Action,1
1949,Comedy,1
1949,Crime,2
1949,Drama,1
1949,Film-Noir,1
1949,Mystery,1
1949,Thriller,1
1950,Comedy,1
1950,Crime,1
1950,Drama,5
1950,Fantasy,1
1950,Film-Noir,2
1950,Mystery,2
1951,Adventure,1
1951,Crime,1
1951,Drama,4
1951,Film-Noir,2
1951,Romance,1
1951,Sci-Fi,1
1951,Thriller,1
1952,Comedy,2
1952,Drama,3
1952,Musical,1
1952,Romance,2
1952,Thriller,1
1952,Western,1
1953,Adventure,1
1953,Comedy,2
1953,Drama,4
1953,Romance,2
1953,Thriller,1
1953,War,2
1954,Action,1
1954,Adventure,1
1954,Comedy,1
1954,Crime,2
1954,Drama,4
1954,Mystery,1
1954,Romance,1
1954,Thriller,3
1955,Comedy,1
1955,Crime,4
1955,Drama,5
1955,Film-Noir,1
1955,Horror,1
1955,Thriller,1
1956,Adventure,2
1956,Crime,1
1956,Drama,5
1956,Film-Noir,1
1956,Horror,1
1956,Sci-Fi,1
1956,Western,2
1957,Adventure,1
1957,Crime,2
1957,Drama,9
1957,Fantasy,1
1957,Film-Noir,1
1957,History,2
1957,Mystery,1
1957,Romance,1
1957,War,2
1958,Adventure,1
1958,Crime,1
1958,Drama,3
1958,Film-Noir,1
1958,Mystery,1
1958,Romance,1
1958,Thriller,1
1959,Action,1
1959,Adventure,2
1959,Comedy,1
1959,Crime,2
1959,Drama,5
1959,History,1
1959,Music,1
1959,Mystery,2
1959,Romance,2
1959,Thriller,1
1959,Western,1
1960,Action,1
1960,Adventure,2
1960,Biography,2
1960,Comedy,2
1960,Crime,1
1960,Drama,9
1960,History,1
1960,Horror,3
1960,Mystery,2
1960,Romance,1
1960,Thriller,2
1960,Western,1
1961,Action,1
1961,Comedy,1
1961,Drama,4
1961,Horror,1
1961,Romance,1
1961,Sport,1
1961,Thriller,1
1961,War,1
1962,Action,3
1962,Adventure,1
1962,Biography,1
1962,Comedy,1
1962,Crime,2
1962,Drama,12
1962,Fantasy,1
1962,History,1
1962,Horror,1
1962,Mystery,1
1962,Romance,1
1962,Thriller,3
1962,War,1
1962,Western,1
1963,Adventure,1
1963,Comedy,1
1963,Crime,1
1963,Drama,4
1963,History,1
1963,Horror,1
1963,Mystery,3
1963,Romance,1
1964,Action,2
1964,Adventure,1
1964,Comedy,3
1964,Drama,3
1964,Family,2
1964,Fantasy,1
1964,History,1
1964,Music,1
1964,Musical,2
1964,Thriller,1
1964,War,1
1964,Western,1
1965,Biography,1
1965,Drama,3
1965,Family,1
1965,Horror,1
1965,Romance,1
1965,Thriller,1
1965,War,1
1965,Western,1
1966,Biography,2
1966,Drama,6
1966,History,2
1966,Mystery,1
1966,Thriller,2
1966,War,1
1966,Western,1
1967,Action,2
1967,Adventure,2
1967,Animation,1
1967,Biography,1
1967,Comedy,2
1967,Crime,4
1967,Drama,6
1967,Family,1
1967,Mystery,2
1967,Romance,2
1967,Thriller,1
1967,War,1
1968,Action,1
1968,Adventure,3
1968,Biography,1
1968,Comedy,1
1968,Drama,2
1968,History,1
1968,Horror,2
1968,Sci-Fi,2
1968,Thriller,1
1968,War,1
1968,Western,1
1969,Action,1
1969,Adventure,1
1969,Biography,1
1969,Crime,1
1969,Drama,2
1969,Western,1
1970,Adventure,1
1970,Biography,1
1970,Comedy,1
1970,Drama,2
1970,War,2
1971,Action,2
1971,Comedy,1
1971,Crime,3
1971,Drama,7
1971,Family,2
1971,Fantasy,1
1971,Musical,3
1971,Romance,2
1971,Sci-Fi,1
1971,Thriller,1
1971,War,1
1971,Western,1
1972,Action,1
1972,Adventure,2
1972,Biography,1
1972,Comedy,1
1972,Crime,1
1972,Drama,5
1972,Music,1
1972,Musical,1
1972,Mystery,2
1972,Sci-Fi,1
1972,Thriller,2
1973,Action,2
1973,Adventure,1
1973,Animation,1
1973,Biography,2
1973,Comedy,4
1973,Crime,8
1973,Drama,10
1973,Family,1
1973,Fantasy,1
1973,Horror,1
1973,Sci-Fi,1
1973,Thriller,1
